Can vei la flor, l'erba vert e la folha;0W1W0W1W W10W1W0W0W1xW
Et au lo chan dels auzels pel boschatge,;0W0W0W1W 0W01W0W01xW
Ab l'autre joi, qu'eu ai en mo coratge,;0W10W1W 0_0W1W0W1W01xW
Poya mos chans ! e nais e creis e brolha.;10W0W1W 0W1W0W1W0W1xW
E no m'es vis c'om re poscha valer,;0W0W0W1W 0W0W10W01W
S'eras no vol amor et joi aver,;01W0W1W 01W0W1W01W
Pus tot can es s'alegr' e s'esbaudeya.;1W0W0W1W 01W0W001xW
Ja no crezatz qu'eu de joi me recreya;1W0W01W 0_1W0W1W0W01xW
Ni.m lais d'amar per dan c'aver en solha,;0W1W01W 0W1W01W0W1xW
Qu'eu non ai ges en poder que m'en tolha,;0_1W0W1W1W 0W01W0W0W1xW
C'amors m'asalh, que'm sobresenhoreya;01W01W 0W10001xW
E.m fai amar cal que.lh plass', e voler.;0W1W01W 0W1W1W0W01W
E s'eu am so que no.m deu eschazer,;0W1W0W1W 1W0W1W001W
Forsa d'amor m'i fai far vassalatge.;10W01W 0W1W1W001xW
Mas en amor non a om senhoratge,;0W0W01W 0W0W1W001xW
E qui l'i quer, vilanamen domneya,;0W1W0W1W 0001W01xW
Que re no vol amors qu'esser no deya.;0W1W0W1W 01W01W0W1xW
Paubres e rics fai amdos d'un paratge!;10W0W1W 1W01W0W01xW
Can l'us amics vol l'autre vil tener,;1W0W01W 1W10W1W01W
Pauc pot amors ab ergolh remaner,;0W1W01W 0W01W001W
Qu'ergolhs dechai e fin' amors capdolha.;01W01W 0W0W01W01xW
Eu sec cela que plus vas me s'ergolha;1W0W01W 1W0W1W0W01xW
E cela fuih que.m fo de bel estatge,;0W01W1W 0W1W0W0W01xW
C'anc pois no vi ni me ni mo messatge;0W1W0W1W 0W1W0W1W01xW
Per qu'es be sal que ja doncs no m'acolha !;0W0W0W1W 0W0W1W0W01xW
Mas dreih l'en fatz, qu'eu m'en fatz fol parer,;0W1W0W1W 1W0W1W0W01xW
Car per cela que.m torn' en no-chaler,;1W0W01W 0W1W0W0W01xW
Estauc aitan de leis que no la veya .;01W01W 0W1W0W0W0W1xW
Mas costum' es tostems que fols foleya,;0W01W1W 01W0W1W01xW
E ja non er qu'el eis lo ram no colha;0W1W0W1W 0W1W0W1W0W1xW
Que.l bat e.l fer , per c'ai razo que.m dolha,;0W1W0W1W 0W1W01W0W1xW
Car anc me pres d'autrui amor enveya.;0W1W0W1W 01W01W01xW
Mas, fe qu'eu dei leis e mo Bel-Vezer,;1W0W1W1W 1W0W0W101W
Si de s'amor me torn' en bon esper,;0W0W01W 0W1W0W1W01W
Ja mais vas leis no farai vilanatge.;0W1W0W1W 0W01W001xW
Ja no m'aya cor felo ni sauvatge,;0W0W10W1W 10W0W01xW
Ni contra me mauvatz cosselh no creya,;0W10W0W01W 01W0W1xW
Qu'eu sui sos om liges, on que m'esteya,;0W1W0W1W01W 1W0W01xW
Si que de sus del chap li ren mo gatge !;1W0W0W1W 0W1W0W1W0W1xW
Mas mas jonchas li venh a so plazer,;0W0W01W 0W1W0W0W01W
E ja no.m volh mais d'a sos pes mover,;0W0W0W1W 0W0W0W1W01W
Tro per merce.m meta lai o.s despolha.;1W0W01W 10W0W0W01xW
L'aiga del cor, c'amdos los olhs me molha,;10W0W1W 01W0W1W0W1xW
M'es be guirens qu'eu penet mo folatge ,;0W0W01W 1W01W0W01xW
E conosc be, midons en pren damnatge;0W01W1W 01W0W1W01xW
S'ela tan fai que perdonar no.m volha.;10W0W1W 0W001W0W1xW
Pois meus no sui et ilh m'a en poder,;1W0W0W1W 0W1W0W0W01W
Mais pert ilh qu'eu en lo meu dechazer !;0W0W1W1W 0W0W1W001W
Per so l'er gen s'ab son ome plaideya .;0W0W0W1W 0W0W10W01xW
Mo messatger man a mo Bel-Vezer,;0W001W 1W0W0W001W
Que cilh que.m tolc lo sen e lo saber,;0W1W0W1W 0W1W0W0W01W
Me tol midons e leis , que no la veya .;0W1W01W0W1W 0W0W0W1xW
Amics Tristans, car eu no.us posc vezer,;01W01W 0W1W0W1W01W
A Deu vos do, cal que part que m'esteya.;0W1W0W1W 0W0W1W0W01xW
Be m'an perdut lai enves Ventadorn;0W1W01W 0W01W001W
Tuih mei amic, pois ma domna no m'ama!;1W0W01W 1W0W10W0W1xW
Et es be dreihz que ja mais lai no torn,;0W0W0W1W 0W0W1W0W0W1W
C'ades estai vas me salvatj' e grama.;01W01W 0W0W010_0W1xW
Ve.us per que.m fai semblan irat e morn:;0W0W0W1W 01W01W0W1W
Car en s'amor me deleih e.m sojorn ;1W0W01W 0W01W0W01W
Ni de ren als no.s rancura ni.s clama .;0W0W0W1W 0W010W0W1xW
Aissi co.l peis qui s'eslaiss' el cadorn;01W0W1W 0W01W0W01W
E no.n sap mot, tro que s'es pres en l'ama,;0W0W1W1W 1W0W0W1W0W1xW
M'eslaissei eu vas trop amar un jorn ,;001W1W 0W1W01W0W1W
C'anc no.m gardei, tro fui en mei la flama,;1W0W01W 1W0W0W1W0W1xW
Que m'art plus fort, no.m feira focs de forn!;0W1W0W1W 0W10W1W0W1W
E ges per so no.m posc partir un dorn,;0W1W0W1W 0W1W01W0W1W
Aissi.m te pres d'amors e m'aliama.;01W0W1W 01W0W001W
No.m meravilh si s'amors me te pres,;0W001W 0W01W0W0W1W
Que genser cors no crei qu'el mon se mire:;0W01W1W 0W1W0W1W0W1xW
Bels e blancs es, e frescs e gais e les;1W0W1W1W 0W1W0W1W0W1W
E totz aitals com eu volh e dezire.;0W1W01W 0W0W1W0W01xW
No posc dir mal de leis, que non i es!;0W1W0W1W0W1W 0W0W0W1W
Qu'e.l n'agra dih de joi, s'eu li saubes!;0W10W1W0W1W 1W0W01W
Mas no li sai, per so m'en lais de dire.;0W0W0W1W 0W1W0W1W0W1xW
Totz tems volrai sa onor e sos bes;0W1W01W 0W01W0W0W1W
E.lh serai om et amics e servire,;0W00W1W 0W01W0W01xW
E l'amarai, be li plass' o be.lh pes,;0W001W 0W0W1W0W0W1W
C'om no pot cor destrenher ses aucire.;1W0W0W1W 001W0W01xW
No sai domna, volgues o no volgues,;0W0W10W 01W0W0W01W
Si.m volia, c'amar no la pogues.;0W010W 01W0W0W01W
Mas totas res pot om en mal escrire .;0W10W1W 0W1W0W1W01xW
A las autras sui aissi eschazutz !;0W0W10W1W 01W001W
La cals se vol me pot vas se atraire,;0W1W0W1W 0W1W0W0W01xW
Per tal cove que no.m sia vendutz;0W0W01W 0W0W1W01W
L'onors ni.l bes que m'a en cor a faire!;01W0W1W 0W1W0W1W0W1xW
Qu'enoyos es preyars, pos er perdutz!;0_001W0W01W 1W0W01W
Per me.us o dic, que mals m'en es vengutz,;0W1W0W1W 0W1W0W0W01W
En Proensa tramet jois e salutz;0W010W 01W1W0W01W
E mais de bes c'om no lor sap retraire!;0W0W0W1W 1W0W0W1W01xW
E fatz esfortz, miracles e vertutz,;0W1W01W 010W0W01W
Car eu lor man de so don non ai gaire,;1W0W0W1W 0W0W1W0W0W1xW
Qu'eu non ai joi, mas tan can m'en adutz;0_1W0W0W1W 0W0W1W0W01W
Mos Bels Vezers e'n Fachura, mos drutz,;0W1W01W 0W010W 0W1W
E'n Alvernhatz, lo senher de Belcaire.;0W001W 0W01W0W01xW
Mos Bels Vezers, per vos fai Deus vertutz;0W1W01W 0W1W0W1W01W
Tals c'om no.us ve que no si' ereubutz;0W1W0W1W 0W0W0W001W
Dels bels plazers que sabetz dir e faire .;0W1W01W 0W01W0W0W1xW
Per melhs cobrir lo mal pes e.l cossire;0W1W01W 0W0W1W0W01xW
Chan e deport et ai joi e solatz!;1W0W01W 0W0W1W0W01W
E fatz esfortz car sai chantar ni rire,;0W1W01W 0W1W01W0W1xW
Car eu me mor e nul semblan no.n fatz!;1W0W0W1W 0W0W01W0W1W
E per Amor sui si apoderatz,;0W0W01W 1W0W0001W
Tot m'a vencut a forsa e a batalha .;1W0W01W 0W10W0_0W01xW
Anc Deus no fetz trebalha ni martire,;0W1W0W1W 010W0W01xW
Ses mal d'amor, qu'eu no sofris en patz!;0W1W01W 1W0W01W0W1W
Mas d'aquel sui, si be.m peza, sofrire,;0W00W1W 0W0W10W01xW
C'Amors mi fai amar lai on li platz!;01W0W1W 01W1W0W0W1W
E dic vos be que s'eu no sui amatz,;0W1W0W1W 0W1W0W1W01W
Midons sui om et amics e servire,;01W0W1W 0W01W0W01xW
E no.lh en quer mais autras amistatz;0W0W0W1W 0W01W001W
Mas c'a celat los seus bels olhs me vire,;0W0W01W 0W0W0W1W0W1xW
Que gran be.m fan ades can sui iratz!;0W0W0W1W 01W0W1W01W
E ren lor en laus e merces e gratz,;0W0W1W0W1W 0W01W0W1W
Qu'el mon non ai amic que tan me valha.;0_1W0W0W1W 01W0W1W0W1xW
Molt me sap bo lo jorn qu'eu la remire:;1W0W1W0W0W1W 0_1W0W01xW
La boch' e.ls olhs e.l fron e.ls mas e.ls bratz;0W1W0W1W 0W1W0W1W0W1W
E l'autre cors, que res no.n es a dire;0W10W1W 0W0W0W1W0W1xW
Que no sia belamen faissonatz.;0W0W1W 001W001W
Gensor de leis no poc faire Beltatz,;01W0W1W 0W0W10W01W
Per qu'eu m'en ai gran pen' e gran trebalha.;0W0_1W0W1W 0W1W0W0W01xW
A mo talen volh mal, tan la dezire,;0W0W01W0W1W 1W0W01xW
E pretz m'en mais, car eu fui tan auzatz;0W1W0W1W 0W1W0W1W01W
Qu'en tan aut loc auzei m'amor assire,;0_0W0W0W1W 01W01W01xW
Per qu'eu m'en sui conhdes et ensenhatz.;0W0_1W0W1W 01W0W001W
E can la vei, sui tan fort envezatz:;0W1W0W1W 1W0W1W001W
Veyaire m'es que.l cors al cel me salha .;010W0W1W 1W0W1W0W1xW
Dins en mo cor me corrotz e.m azire,;1W0W0W1W 0W01W0W01xW
Car eu sec tan las mias volontatz.;1W0W0W1W 0W1W001W
Mas negus om no deu aital re dire,;0W1W0W1W 0W1W01W0W1x
C'om no sap ges com s'es aventuratz.;1W0W0W1W 1W0W0001W
Que farai doncs dels bels semblans privatz ;0W10W1W 0W1W01W01W
Falhirai lor mais volh que.l mons me falha ;001W1W 0W1W0W1W0W1xW
;
Ab lauzengers non ai ren a devire,;0W001W0W0W1W0W01xW
Car anc per lor no fo rics jois celatz.;1W0W0W1W 0W0W1W1W01W
E dic vos tan que per mon escondire;0W1W0W1W 0W0W1W001xW
Et ab mentir lor ai chamjatz los datz .;0W0W01W 0W1W01W0W1W
Ben es totz jois a perdre destinatz;1W0W0W1W 0W10W001W
Quez es perdutz per la lor devinalha.;0W0W01W 0W0W1W001xW
